approxAnzahl,areaRatio,circleLike,contureDistance,conturenAnzahl,farPoint,keyPointsAnzahl,mean_val,middlepointDistance,minimal_ratio,minimal_ratio2,momentpointDistance,rectangleLike,seradity,seradity2,solidity,solidity2,steiner,type
16,0.10911647527536911,0.2019873024622052,1.143200758414611,3,3485,406,222.67789131444496,21.152189029049694,2.1488684999472194,1.4173484948377288,60.207972893961475,0.4398079128763528,0.9437290158560678,0.9519054622041453,0.9208723144821037,0.950204081632653,17.72004514666935,Flaschenoeffner
14,0.12223242526272829,0.2779892438164333,1.052626882065694,3,3665,330,212.095528820255,16.694589648243266,3.052532005800221,2.0166666666666666,51.419840528729765,0.7690250818302409,0.9456322096838536,0.9566526303821934,0.9220228078060814,0.9880865102639296,2.23606797749979,Flaschenoeffner
22,0.015176763851207118,0.3672896671128922,1.05728446699914,7,63614,459,244.34283088235296,-4.709501249434426,2.8527498201975936,1.7333335481610386,-13.601470508735444,0.9668437929635285,0.584958836131528,0.9459751091885691,0.6834298084615746,0.9574283231972198,4.242640687119285,Dosenoeffner
17,0.07963768669058341,0.5869302403961126,1.0906127498800993,2,10988,395,236.00631903672007,1.799858695094377,3.928679418633305,1.4114492854189264,10.0,1.7841226627935902,0.868999010433222,0.9401350373522951,0.6432043204320432,0.9157401989467525,7.615773105863909,Flaschenoeffner
24,0.4266219239373602,0.5577302411520315,1.1085666331337547,8,18046,505,232.6792791092659,4.037485482319273,2.9824490097919023,5.748740751880318,7.7781745930520225,1.6806228322441372,0.8486770425342057,0.900997893822921,0.6767819870872852,0.9225931301403,43.08131845707603,Dosenoeffner
26,0.18195447420718225,0.32098638498645726,0.7071329136257657,9,38922,539,169.28040855841425,58.05837337261071,2.6973645408318854,1.092057761065835,183.86136081297778,0.8917908235922266,0.8183573517510264,0.8015635187320275,0.7954424644533935,0.9625122614795211,53.009433122794285,Flaschenoeffner
24,0.0075852516324780685,0.45695696332663355,1.0748430049068258,6,4134,414,247.63343121167634,5.680342313667875,4.631040071763867,1.049999919078051,26.40075756488817,1.4008233967252572,0.8892862509686486,0.9713237817938802,0.8797485493230174,0.9773371104815864,7.280109889280518,Korkenzieher
21,1.0,0.2495657741854207,1.444762812674797,1,6330,313,255.00000000000003,6.2986058012747295,2.205637950328343,2.205637950328343,29.068883707497267,0.6120645340974202,0.8463473813354058,0.8463473813354058,0.839559212080854,0.839559212080854,21.18962010041709,Dosenoeffner
32,0.007240535271959781,0.26999882885140825,0.8541036392836548,3,36830,461,252.06429657519368,3.591013057191313,1.6237623762376239,1.7,42.15447781671598,0.457985098348889,0.7132828731060202,0.9550769875913321,0.6905986193493532,0.9629629629629629,80.00624975587844,Korkenzieher
12,0.025671570671272858,0.33683402842092985,1.2461916743460462,3,2545,306,246.16420656982888,11.015194224791797,3.6142856550984934,1.2485207645588312,42.941821107167776,0.9870095830690251,0.9303229214023516,0.9560315664727295,0.9323251207818892,0.9599109131403119,21.633307652783937,Flaschenoeffner
31,1.0,0.20548539189282844,1.311525422430387,1,20527,442,255.0,10.394968619182132,1.2053873893394702,1.2053873893394702,45.617978911828175,1.1616444965839015,0.762034305398216,0.762034305398216,0.5742025785593187,0.5742025785593187,33.52610922848042,Korkenzieher
26,0.1969459242501642,0.34864967320961315,0.938861578657975,2,24330,428,207.62329992841805,-4.515785104576277,1.55011804988378,4.7884014434436155,40.162171256046406,0.27694937760680105,0.8182302019483777,0.9381648404656483,0.4947020704344844,0.8640838869767069,79.32212806020776,Korkenzieher
19,1.0,0.48214315408488634,1.1200284632743114,1,57843,422,255.0,-4.570877191342393,2.5607119641913076,2.5607119641913076,-12.0,1.370308188442531,0.6194452297066994,0.6194452297066994,0.5831897422490523,0.5831897422490523,29.206163733020468,Dosenoeffner
22,0.10100434503882043,0.37873212158536285,1.4447091614983765,3,11995,398,229.2767819924969,8.976333695196102,3.342121741313518,5.473684210526316,31.0,1.1211787999810063,0.8211465234933876,0.9438412057660226,0.775528241955531,0.8580937972768532,8.06225774829855,Dosenoeffner
18,0.07452807060554058,0.27022886915257416,0.9092052152589234,2,8366,284,236.60940413457644,22.37193809992256,2.858630644141613,1.6453516345372947,65.0,0.7341398789523078,0.9284117089300914,0.9530748850304436,0.9119227358427293,0.9709358032577451,4.123105625617661,Flaschenoeffner
21,0.013668738935320515,0.43383669362108246,1.2249020839638747,3,7915,380,249.5015142337977,9.145203958251596,3.499101840274084,1.8,36.0,1.3112100720666762,0.8160587309234582,0.9799590719459458,0.7939657426778243,0.9880952380952381,7.211102550927978,Korkenzieher
17,0.04254423505970505,0.37946390840601063,1.0204866195111983,7,10822,440,233.55159994459066,7.756365387722352,3.6488667025626866,1.605263157894737,36.89173349139343,1.131117229660057,0.8461954107634743,0.8778995425469373,0.8721836717210657,0.8223487930566856,15.231546211727817,Dosenoeffner
22,0.03364906935152679,0.2588763642534575,0.9215854619621171,5,12469,427,243.7813945648306,10.029986337624958,2.275718396086228,11.38759679932152,46.06517122512408,0.6502251020270704,0.8283176791343395,0.9254470513119281,0.8385159206861804,0.9367755532139094,33.83784863137726,Dosenoeffner
25,0.25837676842889057,0.6826366494319575,0.8744377690560042,4,21484,474,247.15678919729933,-1.542615438870734,2.8990608043397974,6.40406521088307,-1.4142135623730951,1.946664236795236,0.8026243114138113,0.9241501123997286,0.39170168407635053,0.4633302012759013,82.365041127896,Dosenoeffner
24,0.047034005898783135,0.3135671456246637,1.240793121936102,2,13584,356,244.09504084685307,8.550898203592816,2.80672268907563,5.147388123254138,26.68332812825267,0.863656316129947,0.7616409522625094,0.9784661577122934,0.8395978877627996,0.9597449182941411,20.615528128088304,Dosenoeffner
17,0.014816810344827586,0.46449780993747575,0.9268220900262307,2,73056,424,251.49078298959665,-4.176295488481145,3.352253220255635,1.0697674622842512,-12.0,1.3751772763293466,0.6331546222231202,0.9673185238848802,0.6921988734278145,0.9857849196538937,22.20360331117452,Dosenoeffner
16,0.118130259787779,0.47965654475431324,1.0911995297089412,2,7883,418,226.30033134048838,10.057441253263708,3.5794392523364484,1.3796728892829337,36.0,1.4641898626770355,0.940046114999096,0.9265422518087598,0.8199573970177912,0.9003067484662577,8.0,Flaschenoeffner
13,1.0,0.2850313122343541,1.1002243791808457,1,5169,242,254.99999999999997,14.067349511604057,3.0567236539143074,3.0567236539143074,52.0,0.799103702007777,0.9527446726778144,0.9527446726778144,0.9233613016873725,0.9233613016873725,9.848857801796104,Dosenoeffner
22,0.056375553285665646,0.2421863135343958,1.024321634709208,18,17991,442,241.2444930216916,24.02505286936383,2.6638859172547864,1.4807692307692308,66.007575322837,0.5926856523782744,0.7472034162055526,0.9528539193115978,0.8136128482682679,0.9396992054483542,21.93171219946131,Flaschenoeffner
12,0.10676708063289764,0.1253439472078729,1.028143997287224,2,577,342,228.462119685674,42.29711705059482,2.190070946588624,1.5196076109770509,88.40814442120137,0.08198071093854897,0.9609461115309466,0.9458213924680228,0.9912428668843987,0.9862867081410128,5.0,Flaschenoeffner
